time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3434.265096	103.549271	-0.354750	0.100000	133
3436.325154	294.898895	1.140471	-0.032619	135
3438.391480	114.698547	-1.034506	0.031734	137
3440.456726	114.355865	-0.935536	0.034602	139
3442.521055	114.137871	-0.844716	0.038754	141
3444.588236	113.917633	-0.759923	0.041645	143
3446.652438	113.602837	-0.681394	0.043592	145
3448.716613	113.260696	-0.610111	0.045657	147
3450.778826	113.107956	-0.543652	0.047597	149
3452.838606	112.762047	-0.484646	0.048738	151
3454.895198	112.518120	-0.432001	0.048655	153
3456.955121	112.344528	-0.384183	0.048367	155
3459.006295	112.127983	-0.341772	0.046599	157
3461.066352	111.851677	-0.304461	0.043654	159
