time (s)	magX	magY	magZ
3642.446799	96.964935	-185.886032	61.326706
3642.450139	96.672707	-186.645828	61.443596
3642.453466	96.672707	-186.762726	61.385155
3642.456789	97.257156	-187.580948	62.144951
3642.460120	97.023376	-187.814713	62.028053
3642.463447	97.549385	-188.223846	62.144951
3642.466815	97.900063	-189.158966	62.787842
3642.470124	97.958504	-190.094101	63.196960
3642.473448	98.133842	-190.503220	63.781418
3642.476781	98.484512	-191.613678	64.774986
3642.480139	98.776741	-191.964340	65.125656
3642.483966	98.952080	-193.074799	66.177673
3642.487271	99.594971	-194.185257	66.995911
3642.490562	100.062538	-195.237289	67.989479
3642.493873	100.530098	-196.347748	68.457047
3642.497199	101.289886	-197.750427	70.677963
3642.500553	102.049683	-198.159561	72.139107
3642.503891	101.874344	-199.737579	73.074226
3642.507274	102.575684	-200.964935	73.775574
3642.510639	103.510811	-202.192291	75.938049
3642.513873	103.861488	-204.062546	77.457626
3642.517200	104.212158	-206.166565	78.684982
3642.520529	104.913498	-207.452377	80.321449
3642.523888	105.965515	-209.147293	82.308594
3642.527232	106.608421	-210.666855	84.529510
3642.530610	107.192871	-212.244904	86.633545
3642.533950	107.777328	-214.173584	88.270012
3642.537216	108.478668	-216.336060	88.971367
3642.540538	108.537109	-217.855652	90.958504
3642.543867	109.589127	-219.609009	93.296318
3642.547265	109.764465	-221.362350	94.757454
3642.550555	110.056686	-223.232605	96.744591
3642.553954	110.874931	-224.810623	100.017532
3642.557276	111.576271	-226.973114	100.251312
3642.560596	112.160728	-228.901825	102.647575
3642.564284	112.745178	-231.648743	104.108711
3642.567646	113.855637	-233.051422	106.680305
3642.571046	114.030975	-234.512573	108.609001
3642.574356	114.556984	-237.025711	111.063698
3642.577698	115.725891	-239.071304	113.693748
3642.581038	116.135010	-241.233780	115.739326
3642.584349	117.362358	-243.045609	119.012276
3642.587653	118.063705	-245.558731	121.466980
3642.591019	118.414375	-247.838089	123.804787
3642.594356	119.817070	-249.065445	126.551735
3642.597718	119.875511	-252.279953	129.824661
3642.601041	121.044418	-254.617752	132.863815
3642.604353	121.862656	-257.072449	135.435410
3642.607657	122.797775	-259.877869	139.818817
3642.611046	124.025131	-262.274109	142.624191
3642.614399	124.901810	-265.430176	146.656921
3642.617685	125.778496	-267.651062	151.390991
3642.621051	127.064293	-270.456482	155.248398
3642.624387	128.350082	-272.794250	159.047333
3642.627694	129.460541	-276.300964	164.073639
3642.631063	130.687897	-279.515503	168.690811
3642.634423	132.207489	-282.846863	173.717117
3642.637718	133.259491	-286.061340	179.386322
3642.641013	134.194611	-289.392761	185.581528
3642.644307	135.597305	-292.548828	191.250732
3642.647760	136.824661	-295.997070	196.627701
3642.651030	138.052017	-300.322021	203.407364
3642.654374	139.337814	-303.244324	209.193436
3642.657730	140.272934	-305.991211	215.563980
3642.661453	141.208054	-309.614868	223.103455
3642.664822	142.260086	-313.647583	229.123306
3642.668127	143.312088	-316.978943	235.961411
3642.671416	144.305664	-320.485718	242.974854
3642.674692	145.357681	-323.992371	250.338989
3642.678009	146.585022	-328.083557	257.936890
3642.681282	146.994156	-331.473389	265.943909
3642.684559	148.221512	-335.798340	273.308014
3642.687896	149.390411	-338.603760	282.425476
3642.691621	149.799530	-342.753357	289.497375
3642.694940	150.442429	-346.435425	299.082428
3642.698190	151.026886	-350.234375	308.024567
3642.701463	152.078903	-354.091797	316.499115
3642.704774	152.137344	-357.072449	325.733521
3642.708059	152.604904	-361.338989	335.493866
3642.711346	153.014023	-364.436584	345.663361
3642.714711	153.540039	-368.060181	356.008179
3642.718491	154.066040	-372.034485	365.359436
3642.721798	154.708939	-375.365845	376.464081
3642.725069	155.234955	-378.580383	387.451782
3642.728368	155.527161	-381.561096	399.140869
3642.731681	156.053177	-385.301575	410.479248
3642.734970	156.228531	-389.100525	423.045013
3642.738231	156.228531	-391.730591	434.734100
3642.741584	156.637634	-394.302185	447.650513
3642.744970	157.572754	-397.224426	461.092926
3642.748261	157.163651	-399.796021	474.827606
3642.751966	156.637634	-402.601440	489.964966
3642.755244	156.754517	-404.471680	504.576294
3642.758656	155.702515	-407.043274	519.362915
3642.761988	155.644058	-409.439514	534.675598
3642.765243	155.118057	-410.666870	549.929871
3642.768595	154.884277	-412.712463	565.885437
3642.771909	153.890701	-413.939819	582.367004
3642.775223	153.481583	-415.108704	599.666870
3642.778540	152.078903	-415.517822	616.732910
3642.781847	150.559326	-416.452942	633.623596
3642.785195	148.747513	-417.329651	651.332520
3642.788479	146.585022	-416.686768	668.281677
3642.791851	143.896545	-416.277649	686.282837
3642.795113	141.675613	-415.167175	704.985413
3642.798884	138.636459	-415.459351	721.992981
3642.802167	135.655762	-413.589111	740.403259
3642.805468	132.558151	-410.725281	757.819946
3642.808727	128.408524	-408.796631	774.827576
3642.812032	124.551140	-406.283447	792.478027
3642.815414	120.109291	-403.478088	810.888367
3642.818668	116.193451	-400.555847	827.194580
3642.822008	110.874931	-395.938599	843.793091
3642.825316	106.140854	-392.198120	860.274719
3642.828662	101.172997	-387.288757	876.639404
3642.831963	95.445358	-382.437744	893.062500
3642.835736	89.250145	-376.593201	908.901245
3642.839075	82.762711	-370.690247	924.272339
3642.842383	76.567505	-364.202820	938.182373
3642.845711	70.956749	-357.656921	952.209167
3642.849044	64.352425	-350.643494	966.586792
3642.852338	57.338982	-341.935120	979.094055
3642.855661	50.909996	-332.876099	992.770325
3642.858933	43.779659	-324.226196	1004.400940
3642.862231	37.233780	-314.582703	1017.317322
3642.865521	29.752775	-304.588562	1027.428345
3642.869234	22.213326	-293.951477	1037.364136
3642.872984	14.556983	-282.437744	1046.832275
3642.876318	7.075977	-270.631775	1055.131470
3642.879656	-0.346582	-258.299805	1063.839844
3642.882983	-8.762712	-245.208084	1070.035034
3642.886323	-15.893045	-231.999420	1076.171753
3642.889687	-23.607832	-218.147873	1081.782593
3642.892981	-32.316185	-203.711868	1086.341309
3642.896310	-40.673874	-188.457642	1089.789551
3642.899647	-49.148445	-173.495621	1092.419678
3642.903006	-57.564583	-157.247818	1093.354736
3642.906317	-65.746933	-141.350662	1094.932739
3642.909653	-74.104622	-124.985977	1093.354736
3642.912988	-82.053185	-108.387489	1093.062500
3642.916330	-90.586212	-91.029221	1090.607788
3642.919646	-99.820564	-74.196960	1085.932129
3642.922983	-108.236702	-56.780251	1083.243652
3642.926316	-115.951500	-39.831093	1077.340698
3642.929645	-124.309166	-22.998833	1070.619507
3642.932979	-131.848633	-5.699005	1062.904785
3642.936312	-140.323212	11.133255	1054.663940
3642.939650	-147.453552	28.725307	1046.014038
3642.942976	-155.752792	44.388664	1035.902954
3642.946325	-162.824677	60.052017	1025.324341
3642.949637	-170.597900	75.481590	1014.979553
3642.952978	-177.143784	91.378723	1003.348938
3642.956308	-183.981888	106.048508	990.900024
3642.959642	-190.527771	121.185860	977.574463
3642.962996	-196.196960	135.212738	966.177673
3642.966311	-201.690842	149.005844	951.507874
3642.969647	-207.535355	162.156052	938.065430
3642.972979	-212.327881	175.306259	924.447632
3642.976344	-216.828171	187.579788	910.303894
3642.979644	-221.971375	199.268845	895.166504
3642.982975	-226.121002	210.782578	879.620056
3642.986305	-229.218597	222.296326	864.891846
3642.989656	-232.666870	233.225601	849.345398
3642.992972	-235.647583	243.161316	833.682068
3642.996307	-238.803619	252.629471	818.895325
3642.999646	-240.790771	261.630035	802.881348
3643.002970	-243.187012	270.864410	787.451782
3643.006310	-244.765076	279.455872	771.905273
3643.009643	-246.050842	287.579773	755.715942
3643.012970	-247.570435	295.119263	740.344849
3643.016303	-248.388672	302.541809	724.389221
3643.020086	-249.440704	309.321472	709.134949
3643.023412	-250.083588	316.218018	693.939209
3643.026740	-250.492676	322.354736	676.873169
