time (s)	det(V)
4209.842658	1.622636	
4209.844147	1.622483	
4209.845919	1.622599	
4209.847396	1.622487	
4209.849168	1.622587	
4209.850665	1.622591	
4209.852328	1.622495	
4209.853850	1.622519	
4209.855476	1.622632	
4209.857026	1.622394	
4209.858620	1.622620	
4209.860215	1.622470	
4209.861780	1.622515	
4209.863389	1.622507	
4209.864946	1.622591	
4209.866616	1.622503	
4209.868106	1.622612	
4209.869797	1.622527	
4209.871283	1.622636	
4209.873011	1.622515	
4209.874484	1.622523	
4209.876207	1.622507	
4209.877695	1.622539	
4209.879400	1.622607	
4209.880882	1.622486	
4209.882594	1.622599	
4209.884073	1.622519	
4209.885737	1.622527	
4209.887250	1.622430	
4209.888890	1.622716	
4209.890441	1.622462	
4209.892070	1.622587	
4209.893628	1.622426	
4209.895232	1.622551	
4209.896825	1.622503	
4209.898382	1.622748	
4209.899994	1.622503	
4209.901515	1.622547	
4209.903189	1.622511	
4209.904666	1.622587	
4209.906390	1.622567	
4209.907863	1.622527	
4209.909571	1.622571	
4209.911056	1.622539	
4209.912745	1.622648	
4209.914225	1.622599	
4209.915923	1.622627	
4209.917410	1.622567	
4209.919084	1.622611	
4209.920597	1.622527	
4209.922222	1.622627	
4209.923758	1.622515	
4209.925290	1.622579	
4209.926889	1.622555	
4209.928471	1.622692	
4209.930098	1.622503	
4209.931604	1.622615	
4209.933238	1.622450	
4209.934734	1.622563	
4209.936367	1.622487	
4209.937844	1.622442	
4209.939492	1.622511	
4209.940988	1.622583	
4209.942601	1.622591	
4209.944083	1.622535	
4209.945683	1.622499	
4209.947194	1.622527	
4209.948743	1.622470	
4209.950336	1.622478	
4209.951829	1.622491	
4209.953503	1.622483	
4209.954989	1.622531	
4209.956623	1.622519	
4209.958144	1.622491	
4209.959780	1.622410	
4209.961260	1.622555	
4209.962898	1.622515	
4209.964380	1.622535	
4209.966008	1.622519	
4209.967485	1.622450	
4209.969096	1.622547	
4209.970612	1.622454	
4209.972167	1.622519	
4209.973727	1.622426	
4209.975240	1.622478	
4209.976873	1.622551	
4209.978365	1.622507	
4209.979999	1.622418	
4209.981521	1.622519	
4209.983164	1.622233	
4209.984643	1.622559	
4209.986271	1.620444	
4209.987752	1.622337	
4209.989385	1.621467	
4209.990873	1.622346	
4209.992493	1.621197	
4209.994002	1.622261	
4209.995568	1.618148	
4209.997108	1.622257	
4209.998637	1.618636	
4210.000251	1.595888	
4210.001744	1.503760	
4210.003366	1.338003	
4210.004889	1.249625	
4210.006517	1.095083	
4210.007999	1.005110	
4210.009631	0.864316	
4210.011116	0.722105	
4210.012668	0.600756	
4210.014161	0.508882	
4210.015666	0.347253	
4210.017247	0.132983	
4210.018728	0.039324	
4210.020307	-0.065984	
4210.021803	-0.260173	
4210.023365	-0.422607	
4210.024887	-0.460642	
4210.026465	-0.582044	
4210.027939	-0.733009	
4210.029506	-0.839458	
4210.031001	-0.976739	
4210.032551	-1.074659	
4210.034075	-1.199114	
4210.035568	-1.343662	
4210.037148	-1.501311	
4210.038662	-1.622511	
4210.040260	-1.609016	
4210.041748	-1.628029	
4210.043317	-1.627119	
4210.044834	-1.628404	
4210.046414	-1.628432	
4210.047887	-1.628533	
4210.049447	-1.628465	
4210.050935	-1.628473	
4210.052468	-1.628638	
4210.053987	-1.627494	
4210.055487	-1.628686	
4210.057060	-1.628549	
4210.058591	-1.628638	
4210.060180	-1.619288	
4210.061687	-1.628722	
4210.063256	-1.628710	
4210.064763	-1.628759	
4210.066308	-1.628577	
4210.067818	-1.628710	
4210.069384	-1.628541	
4210.070860	-1.628851	
4210.072402	-1.628553	
4210.073931	-1.628690	
4210.075425	-1.628594	
4210.077021	-1.627816	
4210.078520	-1.628755	
4210.080099	-1.628839	
4210.081612	-1.628734	
4210.083202	-1.628646	
4210.084703	-1.628739	
4210.086253	-1.628710	
4210.087776	-1.628706	
4210.089275	-1.628888	
4210.090852	-1.628702	
4210.092370	-1.628779	
4210.093961	-1.628763	
4210.095450	-1.628698	
4210.097014	-1.628767	
4210.098531	-1.628658	
4210.100100	-1.628823	
4210.101629	-1.628763	
4210.103139	-1.628702	
4210.104701	-1.628747	
4210.106212	-1.628839	
4210.107788	-1.628698	
4210.109273	-1.628706	
4210.110872	-1.628755	
4210.112363	-1.628763	
4210.113958	-1.628819	
4210.115447	-1.628783	
4210.117039	-1.628795	
4210.118537	-1.628819	
4210.120106	-1.628747	
4210.121625	-1.628759	
4210.123188	-1.628666	
4210.124708	-1.628706	
4210.126226	-1.628731	
4210.127766	-1.628795	
4210.129290	-1.628690	
4210.130870	-1.628767	
4210.132362	-1.628819	
4210.133912	-1.628847	
4210.135423	-1.628807	
4210.136978	-1.628747	
4210.138500	-1.628759	
4210.140042	-1.628859	
4210.141605	-1.628779	
4210.143137	-1.628747	
4210.144693	-1.628896	
4210.146180	-1.628767	
4210.147801	-1.628682	
4210.149298	-1.628779	
4210.150878	-1.628783	
4210.152385	-1.628835	
4210.153965	-1.628875	
4210.155473	-1.628747	
4210.157018	-1.628896	
4210.158555	-1.628747	
4210.160109	-1.628871	
4210.161632	-1.628815	
4210.163168	-1.628831	
4210.164723	-1.628855	
4210.166220	-1.628847	
4210.167814	-1.628775	
4210.169310	-1.628714	
4210.170891	-1.628775	
4210.172389	-1.628831	
4210.173949	-1.628525	
4210.175471	-1.628743	
4210.177024	-1.628658	
4210.178558	-1.628759	
4210.180073	-1.628626	
4210.181629	-1.628690	
4210.183159	-1.628702	
4210.184740	-1.628634	
4210.186236	-1.628714	
4210.187798	-1.628819	
4210.189324	-1.628694	
4210.190917	-1.628654	
4210.192417	-1.628626	
4210.193972	-1.628630	
4210.195498	-1.628827	
4210.197041	-1.628690	
4210.198586	-1.628577	
4210.200095	-1.628585	
4210.201653	-1.628606	
4210.203165	-1.628767	
4210.204720	-1.628775	
4210.206237	-1.628545	
4210.207839	-1.628606	
4210.209324	-1.628622	
4210.210893	-1.628581	
4210.212411	-1.628654	
4210.213969	-1.628489	
4210.215498	-1.628670	
4210.217010	-1.628610	
4210.218578	-1.628634	
4210.220090	-1.628634	
4210.221663	-1.628452	
4210.223145	-1.628565	
4210.224742	-1.628525	
4210.226232	-1.619054	
4210.227839	-1.628392	
4210.229339	-1.612090	
4210.230897	-1.628436	
4210.232408	-1.628485	
4210.233971	-1.628215	
4210.235489	-1.628549	
4210.237052	-1.625528	
4210.238604	-1.628283	
4210.240102	-1.628614	
4210.241669	-1.628388	
4210.243199	-1.628328	
4210.244789	-1.626378	
4210.246283	-1.628388	
4210.247836	-1.596452	
4210.249350	-1.628424	
4210.250916	-1.627784	
4210.252439	-1.628388	
4210.254001	-1.612255	
4210.255530	-1.627385	
4210.257062	-1.624779	
4210.258608	-1.623373	
4210.260128	-1.575424	
4210.261681	-1.536462	
4210.263173	-1.581305	
4210.264760	-1.530770	
4210.266272	-1.520272	
4210.267804	-1.532828	
4210.269340	-1.413513	
4210.270879	-1.435983	
4210.272428	-1.345197	
4210.273941	-1.313317	
4210.275499	-1.266335	
4210.277035	-1.252739	
4210.278605	-1.255402	
4210.280105	-1.221483	
4210.281686	-1.110781	
4210.283207	-1.126036	
4210.284786	-1.102938	
4210.286281	-1.077261	
4210.287828	-1.122939	
4210.289348	-1.053426	
4210.290889	-1.003269	
4210.292430	-0.943823	
4210.293949	-0.942579	
4210.295519	-0.942961	
4210.297007	-0.911375	
4210.298583	-0.796266	
4210.300109	-0.904052	
4210.301696	-0.855716	
4210.303181	-0.812226	
4210.304747	-0.811831	
4210.306269	-0.783617	
4210.307829	-0.809902	
4210.309355	-0.734254	
4210.310862	-0.695715	
4210.312438	-0.615245	
4210.313942	-0.680307	
4210.315501	-0.656632	
4210.317029	-0.681866	
4210.318600	-0.673277	
