crossing time (s)	slope (V/s)	crossing number
4919.577169	-76.431185	2345
4920.624301	-74.302753	2346
4921.680030	-75.798377	2347
4922.724993	-71.304898	2348
4923.738661	-69.775200	2349
4924.773045	-64.175941	2350
4925.823284	-62.268567	2351
4926.849929	-61.424735	2352
4927.902825	-58.936921	2353
4928.918045	-58.649427	2354
4929.969183	-54.233710	2355
4930.940464	-51.231039	2356
4931.975195	-53.781544	2357
4933.065020	-51.676570	2358
4934.112160	-50.943321	2359
4935.153650	-47.623649	2360
4936.158870	-48.609959	2361
4937.221691	-45.483590	2362
4938.236342	-43.097984	2363
4939.261251	-42.094595	2364
4940.305843	-40.101078	2365
4941.305133	-40.548626	2366
4942.386108	-41.417947	2367
4943.462340	-37.099222	2368
4944.453581	-37.481530	2369
4945.478671	-37.298204	2370
4946.530948	-38.514701	2371
4947.552287	-35.570703	2372
4948.557097	-33.076459	2373
4949.627292	-33.180816	2374
4950.667743	-29.129370	2375
4951.727894	-31.697088	2376
4952.740418	-31.677719	2377
4953.766393	-30.525533	2378
4954.831495	-28.982135	2379
4955.843703	-27.482217	2380
4956.884534	-28.710372	2381
4957.906313	-26.320120	2382
4958.982971	-25.837430	2383
4959.977174	-26.553531	2384
4960.998457	-22.824500	2385
4962.075653	-22.945687	2386
4963.101663	-24.405916	2387
4964.163708	-23.736257	2388
4965.165987	-20.180336	2389
