time (s)	det(V)
6198.838127	-0.120016	
6198.839638	-0.070387	
6198.841187	-0.124177	
6198.842701	-0.114400	
6198.844262	-0.099173	
6198.845787	-0.104422	
6198.847298	-0.112281	
6198.848848	-0.091403	
6198.850372	-0.091318	
6198.851936	-0.092410	
6198.853415	-0.092212	
6198.854995	-0.063293	
6198.856515	-0.095290	
6198.858111	-0.058290	
6198.859605	-0.093590	
6198.861154	-0.159389	
6198.862682	-0.111319	
6198.864202	-0.074314	
6198.865760	-0.102851	
6198.867261	-0.099431	
6198.868856	-0.097602	
6198.870350	-0.085122	
6198.871923	-0.058181	
6198.873451	-0.081811	
6198.875031	-0.069178	
6198.876530	-0.074069	
6198.878071	-0.135235	
6198.879594	-0.090561	
6198.881155	-0.104140	
6198.882674	-0.071688	
6198.884197	-0.053863	
6198.885745	-0.057496	
6198.887272	-0.034849	
6198.888830	-0.029060	
6198.890325	-0.081126	
6198.891898	-0.039760	
6198.893389	-0.025572	
6198.894950	-0.077372	
6198.896471	-0.060787	
6198.897999	0.000524	
6198.899532	-0.048271	
6198.901040	-0.061537	
6198.902609	0.037886	
6198.904117	-0.074198	
6198.905687	-0.039683	
6198.907167	-0.069364	
6198.908763	-0.058012	
6198.910246	-0.073851	
6198.911811	-0.063531	
6198.913323	-0.082492	
6198.914880	-0.074302	
6198.916396	-0.052429	
6198.917909	-0.063889	
6198.919481	-0.045963	
6198.920991	0.003428	
6198.922552	-0.024947	
6198.924044	-0.099181	
6198.925641	-0.089396	
6198.927131	-0.071708	
6198.928710	-0.110026	
6198.930232	-0.098090	
6198.931826	-0.085070	
6198.933321	-0.108193	
6198.934883	-0.068651	
6198.936399	-0.081775	
6198.937908	-0.144323	
6198.939456	-0.081622	
6198.940965	-0.153854	
6198.942547	-0.146462	
6198.944037	-0.153821	
6198.945599	-0.133909	
6198.947126	-0.157197	
6198.948728	-0.210258	
6198.950219	-0.125438	
6198.951776	-0.138119	
6198.953298	-0.187087	
6198.954858	-0.197126	
6198.956383	-0.201412	
6198.957906	-0.231834	
6198.959466	-0.245442	
6198.960963	-0.260423	
6198.962536	-0.229385	
6198.964055	-0.281112	
6198.965640	-0.301210	
6198.967133	-0.314809	
6198.968695	-0.321037	
6198.970221	-0.324284	
6198.971751	-0.345702	
6198.973290	-0.337968	
6198.974817	-0.381514	
6198.976373	-0.351656	
6198.977881	-0.369647	
6198.979446	-0.349231	
6198.980940	-0.437991	
6198.982525	-0.403412	
6198.984024	-0.417229	
6198.985601	-0.383689	
6198.987100	-0.377204	
6198.988689	-0.392004	
6198.990192	-0.411996	
6198.991700	-0.469468	
6198.993277	-0.380745	
6198.994792	-0.399315	
6198.996376	-0.459337	
6198.997865	-0.496704	
6198.999478	-0.412387	
6199.000963	-0.476474	
6199.002524	-0.414297	
6199.004048	-0.459994	
6199.005615	-0.462157	
6199.007104	-0.461162	
6199.008664	-0.521196	
6199.010194	-0.506678	
6199.011697	-0.521764	
6199.013250	-0.485276	
6199.014744	-0.526941	
6199.016336	-0.544331	
6199.017828	-0.517889	
6199.019417	-0.466439	
6199.020936	-0.523533	
6199.022517	-0.507222	
6199.024002	-0.549709	
6199.025557	-0.582543	
6199.027064	-0.509772	
6199.028625	-0.635101	
6199.030149	-0.543424	
6199.031673	-0.548117	
6199.033237	-0.486323	
6199.034727	-0.584429	
6199.036501	-0.499181	
6199.038044	-0.600651	
6199.039718	-0.539013	
6199.041278	-0.631669	
6199.042948	-0.520999	
6199.044525	-0.685870	
6199.046166	-0.579232	
6199.047783	-0.675602	
6199.049401	-0.619515	
6199.051028	-0.689375	
6199.052656	-0.666796	
6199.054303	-0.726616	
6199.055903	-0.711031	
6199.057543	-0.770412	
6199.059140	-0.758118	
6199.060824	-0.804830	
6199.062379	-0.827618	
6199.064065	-0.852542	
6199.065590	-0.903391	
6199.067302	-0.945620	
6199.068847	-0.972287	
6199.070564	-1.038541	
6199.072076	-1.056447	
6199.073836	-1.097081	
6199.075314	-1.147052	
6199.077093	-1.191879	
6199.078576	-1.244618	
6199.080335	-1.261517	
6199.081819	-1.356670	
6199.083592	-1.361467	
6199.085080	-1.438618	
6199.086845	-1.434203	
6199.088343	-1.574739	
6199.090087	-1.561498	
6199.091596	-1.627647	
6199.093323	-1.626217	
6199.094853	-1.628279	
6199.096567	-1.627296	
6199.098107	-1.628396	
6199.099784	-1.628215	
6199.101357	-1.628533	
6199.103037	-1.626978	
6199.104612	-1.628593	
6199.106277	-1.627671	
6199.107859	-1.628473	
6199.109497	-1.627083	
6199.111102	-1.628541	
6199.112729	-1.626563	
6199.114367	-1.628453	
6199.115966	-1.628416	
6199.117631	-1.627772	
6199.119233	-1.628324	
6199.120877	-1.628062	
6199.122470	-1.628497	
6199.124155	-1.627562	
6199.125721	-1.628597	
6199.127414	-1.627147	
6199.128953	-1.628590	
6199.130653	-1.627651	
6199.132210	-1.628501	
6199.133915	-1.628312	
6199.135449	-1.628485	
6199.137185	-1.628493	
6199.138677	-1.628577	
6199.140437	-1.627550	
6199.141916	-1.628698	
6199.143707	-1.627663	
6199.145186	-1.628654	
6199.146948	-1.627256	
6199.148424	-1.628453	
6199.150167	-1.628630	
6199.151670	-1.628602	
6199.153424	-1.628271	
6199.154926	-1.628747	
6199.156639	-1.627961	
6199.158161	-1.628493	
6199.159854	-1.628501	
6199.161388	-1.628569	
6199.163066	-1.627731	
6199.164622	-1.628678	
6199.166273	-1.628344	
6199.167875	-1.628593	
6199.169521	-1.628255	
6199.171114	-1.628654	
6199.172738	-1.628614	
6199.174342	-1.628759	
6199.175955	-1.628529	
6199.177625	-1.628247	
6199.179193	-1.628517	
6199.180883	-1.627615	
6199.182465	-1.628356	
6199.184139	-1.628473	
6199.185614	-1.628501	
6199.187340	-1.628505	
6199.188826	-1.628626	
6199.190521	-1.628799	
6199.192019	-1.628642	
6199.193730	-1.628227	
6199.195213	-1.628851	
6199.196902	-1.628481	
6199.198383	-1.628690	
