time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6866.555960	114.222183	1.057600	0.009713	21
6868.626937	114.310883	1.015199	0.009659	23
6870.695800	114.699753	0.969485	0.008694	25
6872.769874	114.062805	0.925820	0.006489	27
6874.842214	114.535439	0.893355	0.009623	29
6876.912998	114.290298	0.844503	0.004573	31
6878.984883	114.491096	0.815482	0.009035	33
6881.057568	114.377983	0.768885	0.003778	35
6883.127831	114.273643	0.741852	0.007470	37
6885.196386	114.788666	0.700829	0.004136	39
6887.269950	114.169945	0.667606	0.004065	41
6889.342348	114.266312	0.638547	0.004716	43
6891.412456	114.396591	0.605821	0.004145	45
6893.484234	114.401115	0.573852	0.003532	47
6895.552494	114.498924	0.544658	0.003404	49
6897.628987	114.718834	0.517533	0.003130	51
6899.695839	114.618668	0.492714	0.001670	53
6901.764248	113.989159	0.467838	0.001960	55
