time (s)	magX	magY	magZ
7136.337402	128.700760	-220.777893	-201.151382
7136.340699	129.518997	-221.537689	-202.846283
7136.344048	129.051422	-222.122147	-205.826996
7136.347371	130.278778	-224.869095	-208.223267
7136.350698	130.395676	-225.395096	-212.139114
7136.354020	130.103455	-227.674469	-215.061386
7136.357362	131.447693	-228.784927	-217.808289
7136.360722	132.265915	-230.304504	-221.548813
7136.364039	132.207489	-231.824066	-224.471069
7136.367415	132.558151	-233.635880	-227.919342
7136.371114	132.908829	-235.272369	-232.010529
7136.374460	133.317947	-236.324356	-235.166580
7136.377786	133.843948	-237.960831	-239.199310
7136.381157	134.545303	-239.831100	-242.296906
7136.384468	135.129745	-241.175339	-245.686752
7136.387848	135.831085	-242.519577	-249.836349
7136.391197	135.772644	-243.805374	-252.583298
7136.394449	136.824661	-245.617172	-257.317383
7136.397781	137.233780	-246.552292	-260.765625
7136.401118	137.701340	-247.721237	-264.272339
7136.404482	138.694916	-249.416153	-268.772644
7136.407799	139.571594	-250.585037	-273.389832
7136.411182	140.448273	-252.046158	-275.902985
7136.414568	140.798950	-253.565750	-280.520172
7136.417791	141.500290	-254.968430	-284.786652
7136.421111	141.850967	-255.903549	-288.234924
7136.424481	142.727646	-257.423157	-291.858551
7136.427790	143.545868	-258.767395	-296.651062
7136.431136	144.656342	-259.994751	-300.625366
7136.434518	145.533020	-261.689636	-305.593201
7136.437845	145.942139	-263.033875	-309.450623
7136.441184	146.585022	-264.319702	-315.353607
7136.444882	146.877258	-265.605530	-320.146088
7136.448253	148.104614	-267.008179	-324.997070
7136.451626	148.513733	-268.352417	-329.964935
7136.454943	149.448853	-269.638245	-335.634125
7136.458323	150.500870	-271.333130	-341.069550
7136.461586	150.267090	-272.735840	-347.732330
7136.464921	150.734650	-274.489197	-354.161285
7136.468325	151.494446	-274.898315	-360.181183
7136.471609	152.195786	-276.651672	-366.610168
7136.474937	152.429581	-278.171204	-374.617187
7136.478278	152.780243	-279.106384	-380.987732
7136.481571	152.955566	-281.093506	-389.286957
7136.484887	153.423141	-282.554626	-396.943298
7136.488286	153.364700	-283.489807	-405.008759
7136.491636	153.598480	-284.833984	-413.132690
7136.494968	153.247803	-285.535339	-421.841003
7136.498280	153.189362	-287.347168	-430.198730
7136.501607	153.423141	-288.165405	-438.614868
7136.504915	153.014023	-289.042053	-446.914062
7136.508297	152.897141	-289.743408	-455.330200
7136.511640	152.254227	-290.210999	-464.389252
7136.514940	151.728226	-291.905884	-474.032684
7136.518708	151.260666	-292.431885	-482.741089
7136.522047	150.909988	-291.555237	-492.150787
7136.525346	150.208649	-292.665710	-501.092926
7136.528675	150.676208	-292.841003	-509.976624
7136.531956	149.682632	-292.607239	-518.626526
7136.535224	148.630630	-292.373474	-527.977783
7136.538549	148.396851	-292.373474	-537.445984
7136.541799	147.169495	-291.964355	-546.914062
7136.545161	146.877258	-292.081238	-555.330200
7136.548874	146.234360	-291.672119	-564.798401
7136.552200	145.240784	-291.087708	-574.149658
7136.555491	144.188782	-289.801880	-583.500916
7136.558769	143.779648	-289.042053	-591.332581
7136.562111	142.669189	-289.042053	-601.502075
7136.565348	141.967850	-287.171814	-611.262451
7136.568669	141.266510	-285.886047	-620.029236
7136.571937	139.630035	-283.372864	-629.029846
7136.575297	139.162476	-282.320862	-638.848633
7136.579044	137.818237	-280.567505	-647.498535
7136.582344	136.415543	-278.755676	-657.609619
7136.585627	134.954407	-275.833435	-666.376404
7136.588935	132.850372	-273.320251	-677.071899
7136.592241	131.213913	-270.807129	-685.897156
7136.595545	129.051422	-268.410889	-695.248413
7136.598867	126.888954	-264.728821	-705.301025
7136.602151	123.908241	-262.098755	-715.587402
7136.605526	121.687317	-258.299805	-723.945068
7136.608797	119.291061	-254.442429	-733.705444
7136.612560	116.251900	-250.818832	-743.699585
7136.615924	113.329636	-246.376968	-752.291077
7136.619210	109.530685	-241.642899	-762.168335
7136.622502	105.790184	-236.791931	-771.753418
7136.625794	102.283463	-231.414963	-781.455322
7136.629090	97.900063	-225.628876	-789.637634
7136.632339	93.925781	-220.310333	-798.404419
7136.635615	89.483925	-215.284042	-806.820557
7136.639376	85.158966	-209.088837	-815.178284
7136.642650	80.249565	-202.542953	-823.185364
7136.645936	75.573929	-196.172409	-830.140320
7136.649228	70.664520	-188.749847	-837.913513
7136.652499	65.229103	-181.677963	-844.868530
7136.655802	60.611923	-174.489197	-851.005249
7136.659505	55.702515	-167.300415	-857.200500
7136.662795	50.793102	-159.001160	-862.869751
7136.666105	45.533020	-151.637054	-868.071350
7136.669343	41.091175	-143.513153	-871.987122
7136.672649	36.357101	-135.623032	-875.143250
7136.675922	31.272354	-127.031555	-880.286377
7136.679639	25.778492	-118.907654	-883.208618
7136.682933	21.102863	-110.725311	-885.780212
7136.686199	15.959671	-102.659851	-888.585632
7136.689528	11.108707	-93.776161	-890.689636
7136.692794	6.959087	-85.126236	-892.910583
7136.696086	2.458796	-76.125656	-894.839294
7136.699374	-3.151957	-67.826416	-895.423767
7136.703084	-7.535360	-58.708939	-895.540588
7136.706427	-12.444773	-49.533020	-895.306885
7136.709713	-16.477499	-40.181767	-896.300415
7136.713011	-21.386908	-30.772060	-895.540588
7136.716347	-26.062540	-21.479252	-894.605530
7136.719591	-31.381063	-12.770893	-893.085937
7136.722969	-36.348915	-3.361193	-891.858582
7136.726243	-40.732323	5.990064	-890.046753
7136.729607	-45.933960	15.808884	-887.241333
7136.732874	-50.784920	25.452366	-883.325562
7136.736580	-56.278786	35.329632	-880.929260
7136.740232	-60.895966	46.025131	-877.422607
7136.743563	-66.214493	55.434834	-872.805420
7136.746895	-71.474579	65.545883	-868.012878
7136.750230	-76.267090	74.780243	-864.038574
7136.753566	-81.468727	85.183517	-857.668030
7136.756896	-86.728813	95.236115	-851.589783
7136.760263	-92.631798	104.412041	-846.855652
7136.763557	-97.774986	114.113968	-839.608459
7136.766898	-102.567513	123.582123	-833.530151
7136.770224	-107.535347	132.758041	-825.464600
7136.773561	-112.327873	142.226181	-818.100525
7136.776892	-117.587959	150.700760	-810.736450
7136.780225	-122.497368	159.409119	-802.086548
7136.783555	-127.231438	168.000580	-793.787292
7136.786892	-130.679718	176.299835	-785.663330
7136.790253	-135.121567	184.131500	-776.955017
7136.793557	-139.680313	191.495621	-768.538879
7136.796888	-143.303925	199.385727	-758.953857
7136.800230	-147.161316	206.106949	-750.479248
7136.803558	-149.791351	213.003510	-741.303345
7136.806889	-153.005844	219.549393	-733.004150
7136.810226	-156.980133	226.270599	-723.711304
7136.813560	-159.025726	231.939804	-714.886047
7136.816886	-161.597321	237.959671	-706.060791
7136.820223	-164.227371	243.219757	-697.527771
7136.823554	-165.980713	248.772064	-689.053223
7136.826890	-168.610764	253.564590	-680.695557
7136.830222	-169.955002	258.415558	-671.461121
7136.833571	-171.883698	262.623596	-662.869690
7136.836884	-172.935730	266.422546	-653.459961
7136.840220	-174.630646	271.390411	-644.868530
7136.843551	-175.507309	275.189392	-635.809509
7136.846884	-176.617767	278.403870	-628.153137
7136.850226	-177.845123	282.904114	-618.509644
7136.853556	-178.546478	285.943298	-610.502686
7136.857308	-179.423141	290.151367	-600.625366
7136.860642	-179.949158	292.196960	-591.449463
7136.864006	-180.767395	295.469910	-583.150208
7136.867317	-181.527191	298.567505	-574.032715
7136.870644	-182.403870	300.729980	-564.973755
7136.873977	-183.339005	303.710693	-556.090027
7136.877341	-183.572769	305.814758	-547.849243
7136.880656	-183.923431	308.035645	-537.971985
7136.884045	-185.092346	310.315002	-530.023437
7136.887311	-185.033920	311.367004	-520.146118
7136.890632	-185.267685	313.003540	-512.022217
7136.893973	-185.793686	314.698425	-502.320251
7136.897308	-185.969040	315.692017	-493.904114
7136.900649	-185.735245	317.036255	-484.552856
7136.903974	-186.027481	317.270020	-475.669189
7136.907322	-185.559921	318.789612	-466.902405
7136.910658	-186.436600	319.783142	-458.720032
7136.913984	-185.735245	319.432495	-450.596161
7136.917319	-186.495041	320.250732	-442.180023
7136.920640	-186.261246	320.133850	-434.114563
