crossing time (s)	slope (V/s)	crossing number
7339.224480	71.799428	4567
7340.308737	72.182842	4568
7341.308938	68.369613	4569
7342.373402	70.923854	4570
7343.390427	67.986829	4571
7344.413915	67.239461	4572
7345.475158	65.492543	4573
7346.494305	64.511631	4574
7347.538001	61.748134	4575
7348.538439	59.391263	4576
7349.538873	58.845686	4577
7350.626566	54.404208	4578
7351.623937	52.174343	4579
7352.694018	49.845410	4580
7353.738724	51.301154	4581
7354.794776	50.913061	4582
7355.791264	47.063112	4583
7356.864614	46.226488	4584
7357.868628	44.759531	4585
7358.943877	44.661529	4586
7359.916760	43.733441	4587
7361.011269	43.195192	4588
7361.998838	41.799506	4589
7363.049749	38.546014	4590
7364.092890	41.347892	4591
7365.118401	40.871231	4592
7366.143642	38.588083	4593
7367.171348	37.609306	4594
7368.204173	37.016339	4595
7369.274167	32.513499	4596
7370.273305	32.740008	4597
7371.315899	31.214254	4598
7372.319118	32.579505	4599
7373.385149	33.000359	4600
7374.438473	31.231482	4601
7375.457890	30.385100	4602
7376.509102	28.942002	4603
7377.525684	27.449045	4604
7378.564030	27.695489	4605
7379.593268	25.015625	4606
7380.634209	27.062920	4607
7381.646789	24.804828	4608
7382.709280	22.347103	4609
7383.735232	24.197685	4610
7384.809816	23.138583	4611
